Sample,Name,Height (cm),mass (g)
1,copper,3.20,28.163
2,aluminum,3.00,10.619
3,titanium,3.00,15.890
4,bismuth,3.30,21.187
5,colbalt wire,3.20,3.206
6,pyrolytic graphite,3.20,4.090
7,neodymium choride hexahydrate,3.10,7.514
8,gadolinium oxide,3.40,9.378
9,erbium oxide,3.35, 12.247
10,mohrs salt,3.20,6.427
11,irom alum,3.20,5.053
12,blue vitriol,3.50,7.176
13,Copper acetate,3.30,6.419
14,Manganese oxide,2.90,8.110
15,Manganese Cl-tetra,3.50,6.738
16,Nickle-zinc ferrite,3.40,8.426
17,Empty vial,3.85,2.942
1*,Iodized salt,3.5,7.749
2*,Himalyan salt,3.7,7.713s
