list1,list2,list3
  0.0000000e+000, -4.1051628e+001,
  3.1250000e+001, -4.4402939e+001,
  6.2500000e+001, -5.5250603e+001,
  9.3750000e+001, -7.7580912e+001,
  1.2500000e+002, -9.3508456e+001,
  1.5625000e+002, -8.7334990e+001,
  1.8750000e+002, -8.7041014e+001,
  2.1875000e+002, -9.2026824e+001,
  2.5000000e+002, -9.4072887e+001,
  2.8125000e+002, -9.3579010e+001,
  3.1250000e+002, -9.2097378e+001,
  3.4375000e+002, -9.5783819e+001,
  3.7500000e+002, -9.5589796e+001,
  4.0625000e+002, -9.1503549e+001,
  4.3750000e+002, -8.8369780e+001,
  4.6875000e+002, -8.7693638e+001,
  5.0000000e+002, -9.3549612e+001,
  5.3125000e+002, -1.0439140e+002,
  5.6250000e+002, -9.3320313e+001,
  5.9375000e+002, -9.5607434e+001,
  6.2500000e+002, -9.5295821e+001,
  6.5625000e+002, -9.7136102e+001,
  6.8750000e+002, -9.2079740e+001,
  7.1875000e+002, -8.4847963e+001,
  7.5000000e+002, -8.2213951e+001,
  7.8125000e+002, -8.3766138e+001,
  8.1250000e+002, -8.6317837e+001,
  8.4375000e+002, -8.7393784e+001,
  8.7500000e+002, -8.9292860e+001,
  9.0625000e+002, -8.6870510e+001,
  9.3750000e+002, -8.5929790e+001,
  9.6875000e+002, -8.8346262e+001,
  1.0000000e+003, -9.3055735e+001,
  1.0312500e+003, -9.3102771e+001,
  1.0625000e+003, -8.6023863e+001,
  1.0937500e+003, -8.5900393e+001,
  1.1250000e+003, -9.2344316e+001,
  1.1562500e+003, -9.8106219e+001,
  1.1875000e+003, -9.5066522e+001,
  1.2187500e+003, -8.9139994e+001,
  1.2500000e+003, -8.8663754e+001,
  1.2812500e+003, -9.2414870e+001,
  1.3125000e+003, -1.0030515e+002,
  1.3437500e+003, -9.8170893e+001,
  1.3750000e+003, -8.8393298e+001,
  1.4062500e+003, -2.9633652e+001,
  1.4375000e+003, -7.9677277e+000,
  1.4687500e+003,  2.8093796e+000,
  1.5000000e+003,  6.1489334e+000,
  1.5312500e+003,  2.8093796e+000,
  1.5625000e+003, -7.9677277e+000,
  1.5937500e+003, -2.9633652e+001,
  1.6250000e+003, -9.5019485e+001,
