data_num, variable, bins,	calculated_mass, chi^2, notes
1, y, 35, 523.28514 pg +/- 46.49112 pg, 0.726,
1, x, 35, 924.69180 pg +/- 62.82066 pg, 0.457,
2, y, 75, 17.24134 pg +/- 3.10498 pg, 0.844,
2, y, 100, 18.00108 pg +/- 2.44132 pg, 0.664, More points than the 75 bin (looks better in general)
2, y, 200, 21.00448 pg +/- 2.34851 pg, 0.507,
2, x, 200, 232.31192 pg +/- 17.36094 pg, 0.196,
3, y, 50, -0.66282 pg +/- 0.20780 pg, 0.555, Not gonna spend too much time on this one (the analysis isn't too interesting)
3, y, 100, -0.99388 pg +/- 0.11654 pg, 0.218,
3, y, 200, -0.80153 pg +/- 0.11592 pg, 0.240,
3, x, 50, 132.04445 pg +/- 12.89677 pg, 0.594,
3, x, 100, 131.56066 pg +/- 6.47084 pg, 0.171,
3, x, 200, 132.63179 pg +/- 6.51265 pg, 0.170,
4, y, 200, 20.45896 pg +/- 0.42721 pg, 0.086,
4, y, 500, 22.23804 pg +/- 0.55817 pg, 0.159,
4, y, 1000, 23.55828 pg +/- 0.40332 pg, 0.096,
4, y, 2000, 24.37536 pg +/- 0.34902 pg, 0.078,
4, y, 5000, 24.87292 pg +/- 0.35429 pg, 0.075,
4, x, 200, 52.06898 pg +/- 0.57280 pg, 0.039,
4, x, 500, 52.64460 pg +/- 0.70130 pg, 0.067,
4, x, 1000, 52.86629 pg +/- 0.72387 pg, 0.074,
4, x, 2000, 51.32041 pg +/- 0.82213 pg, 0.081,
4, x, 5000, 46.72509 pg +/- 1.18683 pg, 0.090,
5, x, 200, 11.63175 pg +/- 1.36204 pg, 1.094,
5, x, 500, 24.83700 pg +/- 1.03062 pg, 0.080,
5, x, 1000, 25.71883 pg +/- 1.29461 pg, 0.096,
5, x, 2000, 22.67917 pg +/- 2.35722 pg, 0.129,
5, x, 5000, 3.03607 pg +/- 3.38284 pg, 0.077,
5, y, 200, 1.72155 pg +/- 0.20595 pg, 0.836,
5, y, 500, 2.90765 pg +/- 0.12980 pg, 0.086,
5, y, 1000, 2.88800 pg +/- 0.17400 pg, 0.096,
5, y, 2000, 2.21042 pg +/- 0.24083 pg, 0.102,
5, y, 5000, 0.35675 pg +/- 0.51552 pg, 0.043,
33, x, 20, 0.22677 pg +/- 0.02863 pg, 0.661,
33, x, 50, 0.31130 pg +/- 0.03220 pg, 0.363,
33, x, 100, 0.39298 pg +/- 0.03882 pg, 0.233,
33, x, 200, 0.42264 pg +/- 0.05401 pg, 0.174,
33, x, 200, 0.42264 pg +/- 0.05401 pg, 0.174,
33, y, 100, 0.39298 pg +/- 0.03882 pg, 0.233,
33, y, 200, 0.47200 pg +/- 0.05171 pg, 0.457,
33, y, 500, 0.56779 pg +/- 0.06627 pg, 0.378,
33, y, 1000, 0.81340 pg +/- 0.09257 pg, 0.222,
33, y, 2000, 0.75544 pg +/- 0.10195 pg, 0.199,
36, x, 20, 0.03328 pg +/- 0.00313 pg, 0.297,
36, x, 30, 0.03569 pg +/- 0.00305 pg, 0.256,
36, x, 50, 0.04038 pg +/- 0.00340 pg, 0.221,
36, x, 100, 0.04256 pg +/- 0.00437 pg, 0.227,
36, x, 200, 0.05403 pg +/- 0.00756 pg, 0.122,
36, y, 100, 0.01772 pg +/- 0.00269 pg, 1.032,
36, y, 200, 0.02565 pg +/- 0.00303 pg, 0.568,
36, y, 500, 0.03717 pg +/- 0.00370 pg, 0.236,
36, y, 1000, 0.04501 pg +/- 0.00577 pg, 0.187,
36, y, 2000, 0.03722 pg +/- 0.00744 pg, 0.139,
